Iso Code,Location,Latitude,Longitude,Total Cases,Color
Others,Vatican,41.9038,12.4532,1769,green
Others,Uzbekistan,41.757,63.958,4302473,green
Others,Turks and Caicos Islands,21.7779,-71.7592,43762,green
Others,Turkey,39.144,34.188,34916267,red
Others,Solomon Islands,-9.5987,160.1487,11,green
Others,Slovenia,46.037,14.534,457936,green
Others,Slovakia,48.8595,19.4434,722615,green
Others,Sint Maarten (Dutch part),18.034,-63.0544,44082,green
Others,Singapore,1.3389,103.8297,7199502,green
Others,Senegal,15.044,-15.081,1504637,green
Others,Saint Vincent and the Grenadines,13.2528,-61.1949,6938,green
Others,Saint Lucia,13.909,-60.9776,3404,green
Others,Saint Kitts and Nevis,17.147,-62.58,2379,green
Others,Northern Mariana Islands,15.1905,145.7471,6853,green
Others,New Zealand,-42.558,172.377,183663,green
Others,New Caledonia,-21.02,165.062,3283,green
Others,Netherlands,52.1704,5.0102,10777654,green
Others,Kosovo,42.546,20.921,1302733,green
Others,Fiji,-17.7941,177.9783,3678,green
Others,Falkland Islands,-51.663,-58.685,1833,green
Others,Faeroe Islands,62.1252,-7.0174,43987,green
Others,Djibouti,11.41,42.165,714522,green
Others,Cote d'Ivoire,7.497,-5.336,2050524,green
Others,Cayman Islands,19.3299,-81.1715,28415,green
Others,Burkina Faso,12.673,-1.226,191347,green
Others,Botswana,-22.126,23.662,204505,green
Others,Bosnia and Herzegovina,44.342,17.804,2097640,green
Others,Bonaire Sint Eustatius and Saba,12.1671,-68.2465,4774,green
Others,Bhutan,27.5342,90.3002,22095,green
Others,Bahamas,24.7032,-78.0455,233362,green
Others,Australia,-24.578,133.582,2574427,green
Europe,United Kingdom,52.289,-1.259,49424907,red
Europe,Ukraine,49.364,32.132,15145937,red
Europe,Syria,35.303,38.322,264973,green
Europe,Switzerland,46.7794,8.0329,5733453,green
Europe,Spain,40.617,-3.388,60429641,red
Europe,San Marino,43.942,12.4611,100221,green
Europe,Russia,64.736,104.062,123895998,red
Europe,Romania,45.933,25.119,9946930,green
Europe,Puerto Rico,18.242,-66.643,3479122,green
Europe,Portugal,40.957,-7.9373,7825827,green
Europe,Poland,52.442,19.72,8443241,green
Europe,Norway,61.3701,9.3031,1496027,green
Europe,Montenegro,42.857,19.096,657295,green
Europe,Monaco,43.7384,7.4243,17331,green
Europe,Mauritius,-20.2529,57.5902,49804,green
Europe,Mauritania,19.413,-10.6528,795642,green
Europe,Malta,35.9024,14.4137,222184,green
Europe,Macedonia,41.636,21.676,1639539,green
Europe,Luxembourg,49.671,6.113,912509,green
Europe,Lithuania,55.342,24.23,404580,green
Europe,Latvia,57.017,25.0173,203152,green
Europe,Jordan,30.681,36.279,684420,green
Europe,Italy,44.3713,11.1084,37929602,red
Europe,Israel,30.992,34.834,15311535,red
Europe,Isle of Man,54.2362,-4.5149,47609,green
Europe,Iceland,64.826,-18.417,305656,green
Europe,Hungary,47.174,19.618,1549829,green
Europe,Greece,39.787,21.617,1260333,green
Europe,Germany,51.3819,9.9877,32879600,red
Europe,French Polynesia,-17.529,-149.53,91711,green
Europe,France,46.656,2.543,42419711,red
Europe,Finland,62.716,26.192,1161781,green
Europe,Estonia,58.777,25.977,343881,green
Europe,Denmark,56.113,9.096,2480189,green
Europe,Czech Republic,49.848,15.2812,4749206,green
Europe,Cyprus,34.894,32.928,187499,green
Europe,Croatia,45.754,16.385,1192163,green
Europe,Bulgaria,42.625,24.521,1797282,green
Europe,Belgium,50.6745,4.4588,12208357,green
